File,1,5,8
"(Bradford Books) Neil A. Stillings, Steven E. Weisler, Christopher H. Chase, Mark H. Feinstein, Jay L. Garfield, Edwina L. Rissland - Cognitive Science_ An Introduction  -The MIT Press (1995).pdf",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8eb2333caca986159c466a5e4caf8f442d507965ce0a1f898a103dc0474b3cf8,d43888251189e86655a59f2c2b0c8fd217ee5fc7bfed2bdd074e9190c57361f6
abbott2014_row hits flagship brain plan .pdf,f8b7e6c72663abf56dc9e6d68b91273a5c6e9f2bae5a2f1a5d6573a8e33488d2,Page does not exist,Page does not exist
Attention_CGS401A.pdf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c81f989b4a60b63e3438ba0690d883e1b5a0f57d8caabb3bd47b661d67049b6d,8a129a70b9fc3529ff1ecd4da3631510c10f44c9513155d83883dacc3db92306
Balint's Syndrome.pdf,649ca3af9d1af51395ba89e82a2b9880a49da390d805b5e7daaa753a38072fed,3a32ab524cd10d78426e87eee7b09491e8fc09f53c5962b210c9a3a701e9655b,f912991058ea0c990f8a240c6768970a4f4b226a3883a9bbbfe37209f85c58ff
Berglund & Rosenqvist_Selective males and ardent females in piepfishes.pdf,6b01aab87936e72fd9ad8dd23e9b1b6f3956126b73523beb995722e936d896ae,e414b7a81a6eb1c1e82a3751473d37a217620ed9cf7e6d9d31c3905c4dd2375f,Page does not exist
Bermudez J.L.-Cognitive Science_ An Introduction to the Science of the Mind-CUP (2014).pdf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8abf0d9609a0583a9f370adcbe1f40a4ed5d149d61a5cc838c14aeeb6faf05b3,674e367ece1b9541752580fc02f487061db4c4409a516cbf76b37b3dd312812c
Bloom_the-dual-between-body-and-soul-NYT-2004.pdf,9986a00d1998e5149c47c5a5783700bf92d699d28dbf2d6dc9f9a47678a46f45,Page does not exist,Page does not exist
Bouchard_Genes and human psychological traits.pdf,64bc5ce2321f18ea63435b862625ae756345c12b31fddeb6bd08415a1beea2de,29802c0266a21e5e013a6ffb604561e452244b06ab9ea2451aefc1a898a3fd62,aa6d7608e948f6a45dbc1fa6b4c36656085ffedf13a9e5a56bd6ceafa8c7972f
Buckholtz and Faigman _Promises. .pdf,37ba7c74d9573bf1e542dd1931e811a32c646f4bb75d39bdd606aabf9292a56b,4f2d59c64c0b61a8528a88a382c9a2014476c79ff2ca859ff3157a6efeb1ac52,Page does not exist
"Buttler_Physical attraction to reliale, low variability nervous systems .pdf",15aed46ea8d07948aa64bed348768b697fc3d8dc0ce9591c742818e7d7279a01,0b74902144f0315b0f467eaffc54ddcc1a68b9d3b136326c82220d0bcf0719c0,7c2fad5052b085c4c9e4cdbe1f0a7437b5fc849212a923dfcff5c357d4196dc4
Carandini-2012-From-circuits-to-behavior-a-bridge-too-far.pdf,9de14bda4834f161b617cc86458520bbffd53db10009e887623b3b2bca3112d7,Page does not exist,Page does not exist
CGS401A_Introduction to Cognitive Science.pdf,68d48a1893ee963e06781d54e6f889de16c3259831b8b94991d0c5fd9d5e6382,Page does not exist,Page does not exist
Chang _Tsao_Code for Facial Identity.pdf,34548accfd3816ddedaad76454c033f5d82f6df4de0fba6e207746ce7b8f6b41,df8014bdfba25cfed79697d17c34bfe2203c4836b0e09cfeefdb0ad0d50aefbc,1d79bb49e51abc33921f07050fe069d6be428d533641f856102a2f43a47d2c98
Dan Ariely - Predictably Irrational_ The Hidden Forces That Shape Our Decisions-HarperCollins (2008).pdf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,be06d24e104040d962a3f3f3d157c98bec96e32b2f6a25642305f042a02c28b2,4ebf877a407ce66410f42451f5e98ca9b9c35d96eabfe85be0842809db8d328a
Emery_Clayton_effects of Experience and social context on prospective caching.pdf,b57d10cd854fa867d5736af571ba4a03459b225c3524a4d446e7355abc870514,7b27d6f66d985377d70d94ea2eb5efa35096357ba2df3cc2009656879207541e,Page does not exist
Enard_FoxP2.pdf,96ce040ac78ea527f3390bce6867705fedbe21a3ddc87bb50e1805369c8aee04,Page does not exist,Page does not exist
Everaert_Structures not strings.pdf,cd9e9cb13c416c5229a0f02a53ae33c7e67822b23ca66042cc979bf6e5b653f3,596889390f5332aaa754efe0985b261d76e298a6e8eba9fae249229f2fc1608a,a28756eab38db7023f99e1b717894ec2e7d21c38447310012fd98847ad8d3798
Firestone and Scholl_cognition_does_not_affect_perception_evaluating_the_evidence_for_topdown_effects.pdf,bc85625b19944e86191fe0bde5d38bf8d71db50d849a783718003e1115b1bb40,010e1156e2c9dae949e2d1709433773ebc237dbd9d57b2bbd9b1a3e17b4db9c6,b8804b3106700aa0eec8cc719d2fad3aafb4c87c650bbb7adeada249a3458cc1
Fischoff and Broomell_judgment and decision making .pdf,478345ddae7c64d2185c76c590d87022cbc5a627c95e759b83afdd17a533f111,fc61b21fb3d73440734c93008dc4d8f67e52ba285c20b8d0aa93ad91aae96bd4,ea87fade25a96afe3348632ca03e05a36c2f5274d098eb11c2e624fb651a5c32
Fisher_FOXP2.pdf,64ded5f0d240e9bf34a6af71ffa88df435eff9fade98da4512a1a2a7d4855e44,46d0025dfe8c338dcd96df92a98b67582f119358a619d36361820b157cd1f19e,d2c6d7dc5ef8390958cd68dec832f861e032cc25f7ec4d20191c85d4a0ef4ea6
From circuits to behavior_ a bridge too far_.pdf,9de14bda4834f161b617cc86458520bbffd53db10009e887623b3b2bca3112d7,Page does not exist,Page does not exist
Gallistel_Replacement_of_general_pupose_readiing.pdf,efe73c849904d088833e0a6b4436d6f0be6b161a8b197e34b233c69d4c5393f1,892a251dffc43bfc843454c28ddaf224ed1d1ee1a79650bf0e254be12c28d792,6a708c191f4f65e98950751a36fc603a4016441687027e51c442bfb8da5bfb9b
Gandhi_Immediate susceptibilty to visual illusions.pdf,a5325ab69b3bd14be73876b270114ad6daf90381974df280aa6882616b3d69f0,Page does not exist,Page does not exist
Gao et al 2010_The Wolfpack Effect.pdf,b560079bd51431a98e1e5aacf8eef2ce9179d889b67e4654c118dcbc9d6abd27,25513b1e2fa627b871700530fea9905dcae7caca8611681c48ce5cbc6b9665f7,f1132f0c8e05c06c57946d0deed762105c32bdfa8b71adad3fde80dec878b263
Greene et al_fMRI investigation of emotional engagement in moral judgment.pdf,6f90a8d1d118df69279e52ff72fe2b8e373e1783424fbc52c149ed3f851978ea,96b6164075aa1fbaa1c0cfaf24dcb6300b99e281b06666df3d9d491f4ee1a8de,Page does not exist
Hare_Tomassello_Human like Social skills in Dogs.pdf,f0326b97c7a7b6d11d86309bebcfd31f07411ae095154ce6fa541a3692e787bf,dcc3158c3b914198a998544aad882e2843239fb804b548bba87fae5fa0431068,Page does not exist
Introduction to Cognitive Science.pdf,d711a0538b9e32d7352eccf633731e3f9efb5c506a4389c8525b7886d26aee20,5b6884ee755ede2f82c6fce9e319e219863bab33c90c86ece87fc37462bbd131,4fab42c4b0b2f4853524d3711cf01b056e4e66f7b02d906f66128ab2120b1533
